File,SW20,Location,Used4Training,ClassSegment1,ClassSegment2,ClassSegment3,ClassSegment4,ClassSegment5,ClassSegment6,ClassSegment7,ClassSegment8,ClassSegment9,ClassSegment10,ClassSegment11,ClassSegment12,ClassSegment13,ClassSegment14,ClassSegment15,ClassSegment16,ClassSegment17,ClassSegment18,ClassSegment19,ClassSegment20,ClassSegment21,ClassSegment22,ClassSegment23,ClassSegment24,ClassSegment25,ClassSegment26,ClassSegment27,ClassSegment28,ClassSegment29,ClassSegment30,ClassSegment31,ClassSegment32,ClassSegment33,ClassSegment34,ClassSegment35,ClassSegment36,ClassSegment37,ClassSegment38,ClassSegment39,ClassSegment40,ClassSegment41,ClassSegment42,ClassSegment43,ClassSegment44,ClassSegment45,ClassSegment46,ClassSegment47,ClassSegment48
20150701_013003_0003.wav,0,CdM,1,0.7682,0.1943,0.0528,0.0321,0.0056,0.4482,0.1649,0.0652,0.1385,0.0372,0.4055,0.3889,0.9479,0.0143,0.0161,0.0732,0.1866,0.4287,0.5849,0.1057,0.3805,0.23,0.1215,0.1297,0.296,0.0863,0.2912,0.4419,0.0179,0.1721,0.5985,0.2793,0.1547,0.5378,0.258,0.8884,0.21,0.1154,0.0677,0.3753,0.1737,0.3489,0.1119,0.1384,0.1266,0.0995,0.0352,0.1754
20150701_163003_0033.wav,1,CdM,0,0.9573,0.3381,0.4811,0.4071,0.8599,0.736,0.3027,0.0552,0.9716,0.7509,0.9385,0.6415,0.9384,0.7753,0.9155,0.7362,0.8063,0.1625,0.6199,0.7701,0.7239,0.6311,0.8867,0.957,0.5245,0.7632,0.2061,0.6593,0.36,0.9099,0.6703,0.6188,0.3435,0.2652,0.4154,0.1917,0.0126,0.7273,0.9588,0.91,0.7327,0.1568,0.8941,0.9223,0.3856,0.0318,0.446,0.6716
20150703_040003_0104.wav,0,CdM,0,0.014,0.6941,0.0349,0.4256,0.6373,0.016,0.1904,0.0457,0.8741,0.8329,0.1033,0.0309,0.9521,0.662,0.4795,0.014,0.0452,0.0091,0.7869,0.1192,0.3222,0.5437,0.545,0.0441,0.5172,0.018,0.7011,0.1491,0.6205,0.0878,0.9092,0.026,0.0588,0.5334,0.5375,0.7448,0.7308,0.234,0.0387,0.1085,0.2756,0.0177,0.4949,0.4709,0.3337,0.6121,0.9428,0.5048
20150703_093003_0115.wav,0,CdM,1,0.9053,0.3894,0.0941,0.9197,0.1866,0.0859,0.905,0.3084,0.2018,0.5203,0.5758,0.1688,0.9424,0.2917,0.4644,0.498,0.7419,0.2042,0.2048,0.2187,0.2265,0.1306,0.8508,0.5552,0.3799,0.7156,0.219,0.2821,0.1773,0.2216,0.785,0.8933,0.1178,0.1362,0.3552,0.8034,0.2536,0.2025,0.1268,0.8432,0.9969,0.8228,0.6921,0.7024,0.0587,0.6281,0.1762,0.2722
20150704_053003_0155.wav,1,CdM,0,0.342,0.1593,0.785,0.646,0.136,0.1413,0.7271,0.9889,0.9158,0.3665,0.6788,0.5174,0.7869,0.5379,0.7485,0.7756,0.5818,0.3746,0.0907,0.1356,0.8703,0.1615,0.0607,0.5135,0.8256,0.128,0.2111,0.1861,0.5679,0.4609,0.5369,0.4005,0.7372,0.2186,0.8619,0.8597,0.6421,0.88,0.8388,0.5359,0.1197,0.8376,0.4777,0.325,0.5632,0.6627,0.5229,0.805
20150704_140003_0172.wav,1,CdM,0,0.0275,0.8658,0.688,0.4664,0.4814,0.7504,0.6203,0.2146,0.0244,0.5255,0.4852,0.0307,0.9978,0.1316,0.643,0.8732,0.0528,0.3178,0.6741,0.9196,0.3537,0.8307,0.4102,0.9819,0.6492,0.8093,0.6536,0.3492,0.7118,0.6065,0.879,0.934,0.0575,0.9594,0.6255,0.0044,0.8312,0.0232,0.027,0.894,0.7557,0.3182,0.3883,0.8682,0.63,0.0037,0.9302,0.1683
20150705_203003_0233.wav,1,CdM,0,0.8653,0.5873,0.0856,0.2051,0.2532,0.8623,0.8748,0.1362,0.8808,0.0209,0.2901,0.7744,0.1699,0.0992,0.8961,0.9065,0.4234,0.4904,0.1258,0.0974,0.4887,0.0922,0.1206,0.7234,0.5543,0.0613,0.3825,0.07,0.0769,0.8515,0.116,0.4736,0.9879,0.7826,0.3757,0.9671,0.648,0.4644,0.9179,0.9998,0.2733,0.3572,0.3275,0.5447,0.09,0.2347,0.8696,0.5872
20150706_073003_0255.wav,1,CdM,0,0.0562,0.9201,0.7391,0.2922,0.8402,0.4963,0.8605,0.6783,0.2997,0.3287,0.9569,0.9234,0.518,0.9875,0.1598,0.5281,0.7655,0.1024,0.6764,0.988,0.2145,0.2787,0.9869,0.2779,0.5758,0.061,0.0384,0.5008,0.1832,0.9879,0.8382,0.3759,0.4866,0.8041,0.4754,0.0446,0.8149,0.2691,0.9859,0.8584,0.3328,0.7144,0.5983,0.0873,0.5505,0.3672,0.0946,0.4506
20150706_083002_0257.wav,1,CdM,0,0.7156,0.7679,0.3782,0.9649,0.7839,0.0051,0.3248,0.9225,0.3721,0.9628,0.4965,0.9873,0.9701,0.9412,0.5217,0.6934,0.7269,0.578,0.4849,0.0269,0.6852,0.5573,0.8331,0.2714,0.465,0.6976,0.8948,0.9859,0.0547,0.7954,0.8918,0.0805,0.6954,0.8138,0.8113,0.8335,0.7281,0.8706,0.1918,0.6905,0.987,0.4792,0.6416,0.996,0.0629,0.585,0.7508,0.9711
20150706_093003_0259.wav,1,CdM,0,0.0618,0.1296,0.7615,0.8739,0.9654,0.9685,0.9259,0.7369,0.7971,0.9231,0.1519,0.9565,0.8914,0.7881,0.9238,0.9708,0.0569,0.9626,0.7969,0.7442,0.8578,0.0754,0.8337,0.8671,0.0576,0.851,0.6933,0.7327,0.869,0.791,0.9968,0.5039,0.2449,0.1094,0.3666,0.22,0.6251,0.6289,0.7579,0.9541,0.8287,0.8114,0.1958,0.4669,0.8394,0.7839,0.6739,0.9132
